date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:59	696/696	---M--	200	added ('OK')	image/png	etag:%222b8-yedSjkkaOSMrokonBsbHOdb7DwY%22	https://unpkg.com/leaflet@1.7.1/dist/images/layers.png	C:/Users/yohan/Documents/porto-jo%20data/unpkg.com/leaflet@1.7.1/dist/images/layers.png	(from https://unpkg.com/leaflet@1.7.1/dist/leaflet.css)
14:25:00	1259/1259	---M--	200	added ('OK')	image/png	etag:%224eb-FSoWIzPkbST52J9WYxL8DGQBHe4%22	https://unpkg.com/leaflet@1.7.1/dist/images/layers-2x.png	C:/Users/yohan/Documents/porto-jo%20data/unpkg.com/leaflet@1.7.1/dist/images/layers-2x.png	(from https://unpkg.com/leaflet@1.7.1/dist/leaflet.css)
14:25:00	1466/1466	---M--	200	added ('OK')	image/png	etag:%225ba-YKkLy7K0K33bRVbblOt8EISw5do%22	https://unpkg.com/leaflet@1.7.1/dist/images/marker-icon.png	C:/Users/yohan/Documents/porto-jo%20data/unpkg.com/leaflet@1.7.1/dist/images/marker-icon.png	(from https://unpkg.com/leaflet@1.7.1/dist/leaflet.css)
14:25:01	72387/72387	---M-Z	200	added ('OK')	text/html	etag:W/%2264c7ca12-11ac3%22	https://www.yan-holtz.com/index.html	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/index-2.html	(from https://www.yan-holtz.com/blog.html)
14:25:01	2821/2821	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-b05%22	https://www.yan-holtz.com/js/app.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/js/app.js	(from https://www.yan-holtz.com/blog.html)
14:25:01	9992/9992	---M-Z	200	added ('OK')	text/html	etag:W/%2264c7ca12-2708%22	https://www.yan-holtz.com/blog/pimpMyRmd.html	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/blog/pimpMyRmd.html	(from https://www.yan-holtz.com/blog.html)
14:25:01	37173/37173	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-9135%22	https://www.yan-holtz.com/js/jqBootstrapValidation.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/js/jqBootstrapValidation.js	(from https://www.yan-holtz.com/blog.html)
14:25:01	2807/2807	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-af7%22	https://www.yan-holtz.com/js/contact_me.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/js/contact_me.js	(from https://www.yan-holtz.com/blog.html)
14:25:02	1098/1098	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-44a%22	https://www.yan-holtz.com/js/tree.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/js/tree.js	(from https://www.yan-holtz.com/blog.html)
14:25:03	3020007/3020007	---M--	200	added ('OK')	application/pdf	etag:%2264c7ca12-2e14e7%22	https://www.yan-holtz.com/PDF/Dataviz_Caveats.pdf	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/PDF/Dataviz_Caveats.pdf	(from https://www.yan-holtz.com/teaching.html)
